Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided	Other notes	Status (Only for Mark/Kaumadi)
PMC6676667	1494	Mark	Oncol Lett	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	Yes	NA	No	Background	No		
PMC6676716	1495	Mark	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	No	Background list, FDR	No	It is hard to see which tool was used for which part of the analysis	
PMC6676716	1495	Mark	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	ClusterProfiler	Yes	No	No	Background list	No	It is hard to see which tool was used for which part of the analysis	
PMC6676725	1496	Mark	Oncol Lett	Proteomics	Homo sapiens	GO	No	No test	NA	DAVID	Yes	NA	No	Inference without test, Background	Yes	They ran DAVID but didn't show any p-values so not sure how significant the findings are.	
PMC6676736	1497	Mark	Oncol Lett	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	Yes	NA	Yes	Background list, FDR	No	They say they did FDR correction but I'm not so sure. No supp tables are provided so difficult to check.	
PMC6676742	1498	Mark	Oncol Lett	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	No	Background list, FDR	No		
PMC6676748	1499	Mark	Oncol Lett	Gene expression array, RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	No	Background list, FDR	No		
PMC6677090	1500	Mark	Front Genet	Database	Sus scrofa	KEGG, GO	No	hypergeometric	Yes	GO::TermFinder	No	NA	Yes	Background	Yes	No supplementary data so can't verify they actually did FDR correction properly	
PMC6677124	1501																
PMC6677244	1502																
PMC6677896	1503																
PMC6678411	1504																
PMC6678457	1505																
PMC6678464	1506																
PMC6678685	1507																
PMC6678745	1508																
PMC6679226	1509																
PMC6679650	1510																
PMC6679923	1511																
PMC6680377	1512																
PMC6680405	1513																
PMC6680417	1514																
PMC6681251	1515																
PMC6681318	1516																
PMC6681607	1517																
PMC6681651	1518																
PMC6681682	1519																
PMC6682176	1520																
PMC6682509	1521																
PMC6682552	1522																
PMC6682788	1523																
PMC6683136	1524																
PMC6683460	1525																
PMC6683515	1526																
PMC6683553	1527																
PMC6683893	1528																
PMC6684261	1529																
PMC6684945	1530																
PMC6685053	1531																
PMC6685253	1532																
PMC6685258	1533																
PMC6685266	1534																
PMC6686045	1535																
PMC6686418	1536																
PMC6687095	1537																
PMC6687577	1538																
PMC6687641	1539																
PMC6687648	1540																
PMC6687676	1541																
PMC6687772	1542																
PMC6687785	1543																
PMC6687830	1544																
PMC6688518	1545																
PMC6688585	1546																
PMC6688996	1547																
PMC6689162	1548																
PMC6689211	1549																
PMC6689388	1550																
PMC6689532	1551																
PMC6689731	1552																
PMC6690024	1553																
PMC6690136	1554																
PMC6690579	1555																
PMC6690894	1556																
PMC6690953	1557																
PMC6691204	1558																
PMC6691205	1559																
PMC6691232	1560																
PMC6691242	1561																
PMC6691250	1562																
PMC6691263	1563																
PMC6691265	1564																
PMC6691269	1565																
PMC6691273	1566																
PMC6691371	1567																
PMC6691693	1568																
PMC6691708	1569																
PMC6691710	1570																
PMC6691742	1571																
PMC6691931	1572																
PMC6692014	1573																
PMC6692400	1574																
PMC6692470	1575																
PMC6692500	1576																
PMC6692773	1577																
PMC6693091	1578																
PMC6693179	1579																
PMC6693453	1580																
PMC6693516	1581																
PMC6693656	1582																
PMC6693734	1583																
PMC6693765	1584																
PMC6694127	1585																
PMC6694157	1586																
PMC6694180	1587																
PMC6694645	1588																
PMC6694676	1589																
PMC6694679	1590																
PMC6694821	1591																
PMC6696456	1592																
PMC6696679	1593																
PMC6696836	1594																
PMC6696953	1595																
PMC6697677	1596																
PMC6697914	1597																
PMC6697940	1598																
PMC6698159	1599																
PMC6698669	1600																
PMC6698707	1601																
PMC6698888	1602																
PMC6699283	1603																
PMC6699286	1604																
PMC6699373	1605																
PMC6699477	1606																
PMC6700800	1607																
PMC6700839	1608																
PMC6700996	1609																
PMC6701017	1610																
PMC6701308	1611																
PMC6701328	1612																
PMC6701341	1613																
PMC6701647	1614																
PMC6702159	1615																
PMC6702357	1616																
PMC6702446	1617																
PMC6702544	1618																
PMC6702813	1619																
PMC6702836	1620																
PMC6703137	1621																
PMC6703421	1622																
PMC6704173	1623																
PMC6704281	1624																
PMC6704293	1625																
PMC6704320	1626																
PMC6704489	1627																
PMC6704537	1628																
PMC6704589	1629																
PMC6705180	1630																
PMC6706610	1631																
PMC6706625	1632																
PMC6706905	1633																
PMC6707380	1634																
PMC6707537	1635																
PMC6708023	1636																
PMC6708182	1637																
PMC6708199	1638																
PMC6708203	1639																
PMC6708250	1640																
PMC6708432	1641																
PMC6708480	1642																
PMC6708684	1643																
PMC6708815	1644																
PMC6708875	1645																
PMC6708883	1646																
PMC6710046	1647																
PMC6710255	1648																
PMC6710481	1649																
PMC6710482	1650																
PMC6711111	1651																
PMC6711342	1652																
PMC6711424	1653																
PMC6712035	1654																
PMC6712480	1655																
PMC6712515	1656																
PMC6712721	1657																
PMC6712819	1658																
PMC6712842	1659																
PMC6712859	1660																
PMC6712880	1661																
PMC6713029	1662																
PMC6713409	1663																
PMC6713414	1664																
PMC6713426	1665																
PMC6713433	1666																
PMC6713436	1667																
PMC6714431	1668																
PMC6714963	1669																
PMC6715341	1670																
PMC6715750	1671																
PMC6715830	1672																
PMC6716118	1673																
PMC6716503	1674																
PMC6716509	1675																
PMC6716635	1676																
PMC6716720	1677																
PMC6716739	1678																
PMC6716822	1679																
PMC6717055	1680																
PMC6717201	1681																
PMC6717203	1682																
PMC6717212	1683																
PMC6717325	1684																
PMC6717327	1685																
PMC6717502	1686																
PMC6717745	1687																
PMC6717787	1688																
PMC6718098	1689																
PMC6718102	1690																
PMC6718253	1691																
PMC6718657	1692																
PMC6718673	1693																
PMC6718711	1694																
PMC6718901	1695																
PMC6719498	1696																
PMC6719876	1697																
PMC6720041	1698																
PMC6720049	1699																
PMC6720116	1700																
PMC6720277	1701																
PMC6720278	1702																
PMC6720652	1703																
PMC6720709	1704																
PMC6720779	1705																
PMC6720928	1706																
PMC6720938	1707																
PMC6721059	1708																
PMC6721356	1709																
PMC6721435	1710																
PMC6721515	1711																
PMC6721666	1712																
PMC6721670	1713																
PMC6722462	1714																
PMC6722470	1715																
PMC6722495	1716																
PMC6722539	1717																
PMC6722559	1718																
PMC6722756	1719																
PMC6722852	1720																
PMC6722916	1721																
PMC6722943	1722																
PMC6723132	1723																
PMC6723133	1724																
PMC6723285	1725																
PMC6723323	1726																
PMC6723528	1727																
PMC6723868	1728																
PMC6723870	1729																
PMC6724075	1730																
PMC6724428	1731																
PMC6724578	1732																
PMC6726160	1733																
PMC6726224	1734																
PMC6726693	1735																
PMC6726703	1736																
PMC6726789	1737																
PMC6727076	1738																
PMC6727836	1739																
PMC6728075	1740																
PMC6728658	1741																
PMC6729005	1742																
PMC6729062	1743																
PMC6729079	1744																
PMC6730530	1745																
PMC6730894	1746																
PMC6730907	1747																
PMC6731421	1748																
PMC6731967	1749																
PMC6732141	1750																
PMC6732304	1751																
PMC6732415	1752																
PMC6732946	1753																
PMC6732947	1754																
PMC6732955	1755																
PMC6732963	1756																
PMC6732964	1757																
PMC6732981	1758																
PMC6732998	1759																
PMC6733001	1760																
PMC6733258	1761																
PMC6733351	1762																
PMC6733812	1763																
PMC6734040	1764																
PMC6735710	1765																
PMC6735791	1766																
PMC6735884	1767																
PMC6736451	1768																
PMC6736560	1769																
PMC6736562	1770																
PMC6736951	1771																
PMC6736954	1772																
PMC6737018	1773																
PMC6737102	1774																
PMC6737696	1775																
PMC6737702	1776																
PMC6738408	1777																
PMC6738430	1778																
PMC6738436	1779																
PMC6738438	1780																
PMC6738443	1781																
PMC6739099	1782																
PMC6739105	1783																
PMC6739329	1784																
PMC6739366	1785																
PMC6739497	1786																
PMC6739802	1787																
PMC6740039	1788																
PMC6740056	1789																
PMC6741137	1790																
PMC6742346	1791																
PMC6743272	1792																
PMC6743792	1793																
PMC6744969	1794																
PMC6744971	1795																
PMC6745026	1796																
PMC6745033	1797																
PMC6745259	1798																
PMC6745489	1799																
PMC6745846	1800																
PMC6746216	1801																
PMC6746219	1802																
PMC6746724	1803																
PMC6746778	1804																
PMC6746990	1805																
PMC6747232	1806																
PMC6747360	1807																
PMC6747431	1808																
PMC6747642	1809																
PMC6748068	1810																
PMC6748367	1811																
PMC6748733	1812																
PMC6748909	1813																
PMC6748930	1814																
PMC6749057	1815																
PMC6749084	1816																
PMC6750333	1817																
PMC6750579	1818																
PMC6751461	1819																
PMC6751626	1820																
PMC6752188	1821																
PMC6752488	1822																
PMC6752781	1823																
PMC6752917	1824																
PMC6752960	1825																
PMC6752963	1826																
PMC6753211	1827																
PMC6753250	1828																
PMC6753471	1829																
PMC6753562	1830																
PMC6753572	1831																
PMC6753853	1832																
PMC6753876	1833																
PMC6753977	1834																
PMC6754147	1835																
PMC6754182	1836																
PMC6754880	1837																
PMC6754886	1838																
PMC6754917	1839																
PMC6754980	1840																
PMC6755151	1841																
PMC6755158	1842																
PMC6755162	1843																
PMC6755193	1844																
PMC6755233	1845																
PMC6755251	1846																
PMC6755424	1847																
PMC6755425	1848																
PMC6755433	1849																
PMC6755464	1850																
PMC6755532	1851																
PMC6755545	1852																
PMC6755970	1853																
PMC6756141	1854																
PMC6756437	1855																
PMC6756575	1856																
PMC6756728	1857																
PMC6756834	1858																
PMC6756871	1859																
PMC6757061	1860																
PMC6757064	1861																
PMC6757124	1862																
PMC6757181	1863																
PMC6757265	1864																
PMC6757283	1865																
PMC6757314	1866																
PMC6757375	1867																
PMC6757395	1868																
PMC6759597	1869																
PMC6759650	1870																
PMC6759997	1871																
PMC6760027	1872																
PMC6760028	1873																
PMC6760160	1874																
PMC6760223	1875																
PMC6760236	1876																
PMC6760787	1877																
PMC6761106	1878																
PMC6761238	1879																
PMC6761282	1880																
PMC6761639	1881																
PMC6761752	1882																
PMC6761931	1883																
PMC6761945	1884																
PMC6762065	1885																
PMC6762142	1886																
PMC6763249	1887																
PMC6763254	1888																
PMC6763969	1889																
PMC6764039	1890																
PMC6764142	1891																
PMC6764500	1892																
PMC6765313	1893																
PMC6766082	1894																
PMC6766639	1895																
PMC6767067	1896																
PMC6767412	1897																
PMC6767422	1898																
PMC6767428	1899																
PMC6768254	1900																
PMC6768764	1901																
PMC6768810	1902																
PMC6768876	1903																
PMC6769008	1904																
PMC6769203	1905																
PMC6769343	1906																
PMC6769472	1907																
PMC6769560	1908																
PMC6769733	1909																
PMC6769773	1910																
PMC6769861	1911																
PMC6769865	1912																
PMC6769905	1913																
PMC6769942	1914																
PMC6770035	1915																
PMC6770049	1916																
PMC6770051	1917																
PMC6770402	1918																
PMC6770752	1919																
PMC6770753	1920																
PMC6770779	1921																
PMC6770966	1922																
PMC6770979	1923																
PMC6771114	1924																
PMC6771153	1925																
PMC6771461	1926																
PMC6771781	1927																
PMC6771803	1928																
PMC6771956	1929																
PMC6771988	1930																
PMC6772065	1931																
PMC6772115	1932																
PMC6773216	1933																
PMC6773876	1934																
PMC6773955	1935																
PMC6774267	1936																
PMC6775260	1937																
PMC6775308	1938																
PMC6775505	1939																
PMC6775517	1940																
PMC6775530	1941																
PMC6775598	1942																
PMC6775614	1943																
PMC6775661	1944																
PMC6775681	1945																
PMC6775685	1946																
PMC6775697	1947																
PMC6775707	1948																
PMC6775798	1949																
PMC6775816	1950																
PMC6775863	1951																
PMC6776187	1952																
PMC6776339	1953																
PMC6776930	1954																
PMC6777220	1955																
PMC6777292	1956																
PMC6777479	1957																
PMC6777646	1958																
PMC6777664	1959																
PMC6777666	1960																
PMC6777689	1961																
PMC6777690	1962																
PMC6777804	1963																
PMC6778410	1964																
PMC6778412	1965																
PMC6778431	1966																
PMC6778637	1967																
PMC6778814	1968																
PMC6779116	1969																
PMC6779144	1970																
PMC6779774	1971																
PMC6779830	1972																
PMC6779896	1973																
PMC6779901	1974																
PMC6780007	1975																
PMC6780171	1976																
PMC6780218	1977																
PMC6780702	1978																
PMC6780796	1979																
PMC6781417	1980																
PMC6781509	1981																
PMC6781519	1982																
PMC6781567	1983																
PMC6781590	1984																
PMC6781638	1985																
PMC6781641	1986																
PMC6781647	1987																
PMC6781657	1988																
PMC6781666	1989																
PMC6781670	1990																
PMC6781691	1991																
PMC6781718	1992																
PMC6781726	1993																
PMC6781729	1994																
PMC6781748	1995																
PMC6781762	1996																
PMC6781786	1997																
PMC6781836	1998																
PMC6781975	1999																
PMC6781982	2000																
PMC6781986	2001																
PMC6783421	2002																
PMC6783510	2003																
PMC6784103	2004																
PMC6784153	2005																
PMC6784345	2006																
PMC6784684	2007																
PMC6785232	2008																
PMC6785518	2009																
PMC6785712	2010																
PMC6785843	2011																
PMC6786094	2012																
PMC6786248	2013																
PMC6786253	2014																
PMC6787090	2015																
PMC6787290	2016																
PMC6787439	2017																
PMC6787466	2018																
PMC6787516	2019																
PMC6787946	2020																
PMC6787970	2021																
PMC6787972	2022																
PMC6787997	2023																
PMC6788010	2024																
PMC6788011	2025																
PMC6788075	2026																
PMC6788168	2027																
PMC6788218	2028																
PMC6788225	2029																
PMC6788485	2030																
PMC6788733	2031																
PMC6789140	2032																
PMC6789238	2033																
PMC6789846	2034																
PMC6790058	2035																
PMC6790133	2036																
PMC6790913	2037																
PMC6791442	2038																
PMC6791507	2039																
PMC6791568	2040																
PMC6791931	2041																
PMC6792374	2042																
PMC6794274	2043																
PMC6794346	2044																
PMC6794562	2045																
PMC6794563	2046																
PMC6794608	2047																
PMC6794712	2048																
PMC6794807	2049																
PMC6795061	2050																
PMC6795442	2051																
PMC6796364	2052																
PMC6796450	2053																
PMC6796541	2054																
PMC6797671	2055																
PMC6797941	2056																
PMC6797943	2057																
PMC6797975	2058																
PMC6797987	2059																
PMC6797989	2060																
PMC6798153	2061																
PMC6798164	2062																
PMC6798364	2063																
PMC6798392	2064																
PMC6798414	2065																
PMC6798422	2066																
PMC6798540	2067																
PMC6798800	2068																
PMC6798866	2069																
PMC6799077	2070																
PMC6799829	2071																
PMC6799836	2072																
PMC6800914	2073																
PMC6800981	2074																
PMC6801204	2075																
PMC6801420	2076																
PMC6801976	2077																
PMC6801984	2078																
PMC6802032	2079																
PMC6802060	2080																
PMC6802219	2081																
PMC6802322	2082																
PMC6802489	2083																
PMC6802492	2084																
PMC6803541	2085																
PMC6803554	2086																
PMC6803625	2087																
PMC6803762	2088																
PMC6804244	2089																
PMC6804530	2090																
PMC6804742	2091																
PMC6804945	2092																
PMC6805161	2093																
PMC6805393	2094																
PMC6805654	2095																
PMC6805912	2096																
PMC6807372	2097																
PMC6808634	2098																
PMC6809890	2099																
PMC6810114	2100																
PMC6810146	2101																
PMC6811386	2102																
PMC6811514	2103																
PMC6811586	2104																
PMC6811686	2105																
PMC6811701	2106																
PMC6811898	2107																
PMC6811978	2108																
PMC6812755	2109																
PMC6812857	2110																
PMC6813133	2111																
PMC6813197	2112																
PMC6813278	2113																
PMC6813402	2114																
PMC6813744	2115																
PMC6813758	2116																
PMC6813854	2117																
PMC6813989	2118																
PMC6814066	2119																
PMC6814101	2120																
PMC6814106	2121																
PMC6814239	2122																
PMC6814584	2123																
PMC6814601	2124																
PMC6814749	2125																
PMC6814750	2126																
PMC6814794	2127																
PMC6815035	2128																
PMC6815045	2129																
PMC6815057	2130																
PMC6815195	2131																
PMC6815580	2132																
PMC6815605	2133																
PMC6815738	2134																
PMC6815773	2135																
PMC6815778	2136																
PMC6815812	2137																
PMC6815842	2138																
PMC6816315	2139																
PMC6816389	2140																
PMC6817442	2141																
PMC6817610	2142																
PMC6817930	2143																
PMC6818188	2144																
PMC6818189	2145																
PMC6818190	2146																
PMC6818981	2147																
PMC6819051	2148																
PMC6819436	2149																
PMC6819652	2150																
PMC6820308	2151																
PMC6820467	2152																
PMC6820619	2153																
PMC6821028	2154																
PMC6821037	2155																
PMC6821050	2156																
PMC6821100	2157																
PMC6821228	2158																
PMC6821317	2159																
PMC6821699	2160																
PMC6821711	2161																
PMC6821775	2162																
PMC6821923	2163																
PMC6822059	2164																
PMC6822151	2165																
PMC6822442	2166																
PMC6822471	2167																
PMC6822511	2168																
PMC6822545	2169																
PMC6823248	2170																
PMC6823285	2171																
PMC6823606	2172																
PMC6823729	2173																
PMC6823876	2174																
PMC6823913	2175																
PMC6823985	2176																
PMC6824818	2177																
PMC6825398	2178																
PMC6825586	2179																
PMC6825861	2180																
PMC6826000	2181																
PMC6826131	2182																
PMC6826306	2183																
PMC6826309	2184																
PMC6826322	2185																
PMC6826324	2186																
PMC6826329	2187																
PMC6826356	2188																
PMC6826511	2189																
PMC6826909	2190																
PMC6826937	2191																
PMC6826944	2192																
PMC6826991	2193																
PMC6827004	2194																
PMC6827086	2195																
PMC6827104	2196																
PMC6827132	2197																
PMC6828707	2198																
PMC6828761	2199																
PMC6828820	2200																
PMC6828822	2201																
PMC6829266	2202																
PMC6829426	2203																
PMC6829476	2204																
PMC6829501	2205																
PMC6829750	2206																
PMC6829842	2207																
PMC6829952	2208																
PMC6829971	2209																
PMC6829999	2210																
PMC6830252	2211																
PMC6831462	2212																
PMC6831681	2213																
PMC6832163	2214																
PMC6832203	2215																
PMC6832260	2216																
PMC6833242	2217																
PMC6833472	2218																
PMC6834280	2219																
PMC6834292	2220																
PMC6834504	2221																
PMC6834518	2222																
PMC6834519	2223																
PMC6834614	2224																
PMC6834695	2225																
PMC6834825	2226																
PMC6835268	2227																
PMC6835270	2228																
PMC6835413	2229																
PMC6835899	2230																
PMC6835971	2231																
PMC6836353	2232																
PMC6836481	2233																
PMC6836530	2234																
PMC6836548	2235																
PMC6836844	2236																
PMC6837165	2237																
PMC6837876	2238																
PMC6837996	2239																
PMC6838024	2240																
PMC6838385	2241																
PMC6838423	2242																
PMC6839178	2243																
PMC6839193	2244																
PMC6839211	2245																
PMC6839853	2246																
PMC6841741	2247																
PMC6842264	2248																
PMC6842302	2249																
PMC6842485	2250																
PMC6842535	2251																
PMC6842565	2252																
PMC6842961	2253																
PMC6843362	2254																
PMC6843654	2255																
PMC6843875	2256																
PMC6843883	2257																
PMC6844108	2258																
PMC6844239	2259																
PMC6844503	2260																
PMC6844638	2261																
PMC6844688	2262																
PMC6844949	2263																
PMC6845848	2264																
PMC6848192	2265																
PMC6848216	2266																
PMC6848892	2267																
PMC6848928	2268																
PMC6849441	2269																
PMC6850169	2270																
PMC6850173	2271																
PMC6850467	2272																
PMC6850523	2273																
PMC6850707	2274																
PMC6850916	2275																
PMC6850927	2276																
PMC6850960	2277																
PMC6851174	2278																
PMC6851256	2279																
PMC6851674	2280																
PMC6852106	2281																
PMC6852477	2282																
PMC6852953	2283																
PMC6852988	2284																
PMC6853029	2285																
PMC6853077	2286																
PMC6853132	2287																
PMC6853142	2288																
PMC6853320	2289																
PMC6853929	2290																
PMC6853976	2291																
PMC6854009	2292																
PMC6854023	2293																
PMC6854232	2294																
PMC6854374	2295																
PMC6854512	2296																
PMC6854552	2297																
PMC6854587	2298																
PMC6854603	2299																
PMC6854620	2300																
PMC6854891	2301																
PMC6854988	2302																
PMC6855003	2303																
PMC6855049	2304																
PMC6855060	2305																
PMC6855184	2306																
PMC6855187	2307																
PMC6855217	2308																
PMC6855901	2309																
PMC6856049	2310																
PMC6856753	2311																
PMC6856756	2312																
PMC6856894	2313																
PMC6856901	2314																
PMC6856906	2315																
PMC6857072	2316																
PMC6857166	2317																
PMC6857276	2318																
PMC6857303	2319																
PMC6857582	2320																
PMC6857727	2321																
PMC6858299	2322																
PMC6858347	2323																
PMC6858555	2324																
PMC6858662	2325																
PMC6858811	2326																
PMC6858983	2327																
PMC6859658	2328																
PMC6859662	2329																
PMC6859886	2330																
PMC6861257	2331																
PMC6861296	2332																
PMC6861325	2333																
PMC6861379	2334																
PMC6861651	2335																
PMC6861870	2336																
PMC6861877	2337																
PMC6861914	2338																
PMC6862031	2339																
PMC6862158	2340																
PMC6862187	2341																
PMC6862214	2342																
PMC6862309	2343																
PMC6862379	2344																
PMC6862396	2345																
PMC6862649	2346																
PMC6862666	2347																
PMC6862721	2348																
PMC6862811	2349																
PMC6862834	2350																
PMC6862850	2351																
PMC6863365	2352																
PMC6863930	2353																
PMC6864612	2354																
PMC6864971	2355																
PMC6865021	2356																
PMC6865056	2357																
PMC6865073	2358																
PMC6865084	2359																
PMC6865087	2360																
PMC6865127	2361																
PMC6865131	2362																
PMC6865134	2363																
PMC6865160	2364																
PMC6865364	2365																
PMC6865583	2366																
PMC6865675	2367																
PMC6865721	2368																
PMC6865749	2369																
PMC6865829	2370																
PMC6865834	2371																
PMC6867699	2372																
PMC6867785	2373																
PMC6868455	2374																
PMC6868717	2375																
PMC6868873	2376																
PMC6872142	2377																
PMC6872594	2378																
PMC6872724	2379																
PMC6873638	2380																
PMC6873749	2381																
PMC6873877	2382																
PMC6874020	2383																
PMC6874342	2384																
PMC6874426	2385																
PMC6874440	2386																
PMC6874443	2387																
PMC6874448	2388																
PMC6874454	2389																
PMC6874537	2390																
PMC6874604	2391																
PMC6874775	2392																
PMC6874880	2393																
PMC6874977	2394																
PMC6875299	2395																
PMC6875323	2396																
PMC6875376	2397																
PMC6875403	2398																
PMC6876092	2399																
PMC6876209	2400																
PMC6876294	2401																
PMC6876326	2402																
PMC6876331	2403																
PMC6876339	2404																
PMC6876559	2405																
PMC6876840	2406																
PMC6877773	2407																
PMC6877955	2408																
PMC6878812	2409																
PMC6878815	2410																
PMC6878900	2411																
PMC6878997	2412																
PMC6879000	2413																
PMC6879536	2414																
PMC6880260	2415																
PMC6880387	2416																
PMC6880412	2417																
PMC6880426	2418																
PMC6880436	2419																
PMC6880446	2420																
PMC6880760	2421																
PMC6881504	2422																
PMC6881575	2423																
PMC6881697	2424																
PMC6881748	2425																
PMC6881970	2426																
PMC6882144	2427																
PMC6882145	2428																
PMC6882729	2429																
PMC6882982	2430																
PMC6883040	2431																
PMC6883191	2432																
PMC6883267	2433																
PMC6883412	2434																
PMC6883552	2435																
PMC6883692	2436																
PMC6883806	2437																
PMC6883949	2438																
PMC6883955	2439																
PMC6883970	2440																
PMC6884554	2441																
PMC6884575	2442																
PMC6884781	2443																
PMC6884804	2444																
PMC6884850	2445																
PMC6884903	2446																
PMC6884941	2447																
PMC6884995	2448																
PMC6885160	2449																
PMC6885190	2450																
PMC6885354	2451																
PMC6885826	2452																
PMC6886326	2453																
PMC6886351	2454																
PMC6886488	2455																
PMC6886493	2456																
PMC6886539	2457																
PMC6887656	2458																
PMC6887920	2459																
PMC6888101	2460																
PMC6888191	2461																
PMC6888281	2462																
PMC6888935	2463																
PMC6888937	2464																
PMC6888953	2465																
PMC6888960	2466																
PMC6889111	2467																
PMC6889128	2468																
PMC6889308	2469																
PMC6889628	2470																
PMC6889649	2471																
PMC6889673	2472																
PMC6889910	2473																
PMC6889923	2474																
PMC6890310	2475																
PMC6890746	2476																
PMC6890884	2477																
PMC6891001	2478																
PMC6891525	2479																
PMC6892021	2480																
PMC6892182	2481																
PMC6892497	2482																
PMC6892507	2483																
PMC6892882	2484																
PMC6892992	2485																
PMC6893039	2486																
PMC6893171	2487																
PMC6893197	2488																
PMC6893264	2489																
PMC6893833	2490																
PMC6894106	2491																
PMC6894128	2492																
PMC6894229	2493																
PMC6894312	2494																
PMC6894432	2495																
PMC6894500	2496																
PMC6894877	2497																
PMC6895034	2498																
PMC6895093	2499																
PMC6895137	2500																
PMC6895522	2501																
PMC6895524	2502																
PMC6895538	2503																
PMC6895790	2504																
PMC6895817	2505																
PMC6895825	2506																
PMC6895844	2507																
PMC6895929	2508																
PMC6895971	2509																
PMC6896043	2510																
PMC6896067	2511																
PMC6896094	2512																
PMC6896160	2513																
PMC6896166	2514																
PMC6896173	2515																
PMC6896271	2516																
PMC6896343	2517																
PMC6896370	2518																
PMC6896406	2519																
PMC6896412	2520																
PMC6896700	2521																
PMC6896793	2522																
PMC6896979	2523																
PMC6897427	2524																
PMC6897960	2525																
PMC6898958	2526																
PMC6899027	2527																
PMC6899274	2528																
PMC6899321	2529																
PMC6899695	2530																
PMC6899837	2531																
PMC6900372	2532																
PMC6900464	2533																
PMC6900948	2534																
PMC6900950	2535																
PMC6901108	2536																
PMC6901550	2537																
PMC6901591	2538																
PMC6902018	2539																
PMC6902022	2540																
PMC6902471	2541																
PMC6902488	2542																
PMC6902552	2543																
PMC6902714	2544																
PMC6903403	2545																
PMC6903450	2546																
PMC6904333	2547																
PMC6904348	2548																
PMC6904359	2549																
PMC6904554	2550																
PMC6904618	2551																
PMC6904644	2552																
PMC6904657	2553																
PMC6904808	2554																
PMC6905448	2555																
PMC6905557	2556																
PMC6906358	2557																
PMC6906535	2558																
PMC6906543	2559																
PMC6906704	2560																
PMC6906823	2561																
PMC6907053	2562																
PMC6907093	2563																
PMC6908425	2564																
PMC6908522	2565																
PMC6908624	2566																
PMC6908719	2567																
PMC6908929	2568																
PMC6908930	2569																
PMC6909274	2570																
PMC6909483	2571																
PMC6909779	2572																
PMC6909914	2573																
PMC6909945	2574																
PMC6909947	2575																
PMC6909950	2576																
PMC6909953	2577																
PMC6910184	2578																
PMC6910697	2579																
PMC6910870	2580																
PMC6911305	2581																
PMC6911351	2582																
PMC6911687	2583																
PMC6912032	2584																
PMC6912211	2585																
PMC6912399	2586																
PMC6912617	2587																
PMC6912687	2588																
PMC6912721	2589																
PMC6913305	2590																
PMC6913959	2591																
PMC6914403	2592																
PMC6914404	2593																
PMC6914690	2594																
PMC6914845	2595																
PMC6914911	2596																
PMC6914953	2597																
PMC6914966	2598																
PMC6915109	2599																
PMC6915350	2600																
PMC6915924	2601																
PMC6915928	2602																
PMC6915963	2603																
PMC6916027	2604																
PMC6916035	2605																
PMC6916092	2606																
PMC6916245	2607																
PMC6916361	2608																
PMC6917306	2609																
PMC6917332	2610																
PMC6917337	2611																
PMC6917348	2612																
PMC6917798	2613																
PMC6918409	2614																
PMC6918595	2615																
PMC6918596	2616																
PMC6918777	2617																
PMC6919626	2618																
PMC6920093	2619																
PMC6920101	2620																
PMC6920121	2621																
PMC6920211	2622																
PMC6920415	2623																
PMC6921005	2624																
PMC6921067	2625																
PMC6921340	2626																
PMC6921432	2627																
PMC6921511	2628																
PMC6921512	2629																
PMC6921668	2630																
PMC6921983	2631																
PMC6922394	2632																
PMC6922555	2633																
PMC6922578	2634																
PMC6923199	2635																
PMC6923371	2636																
PMC6923473	2637																
PMC6923663	2638																
PMC6923683	2639																
PMC6923743	2640																
PMC6923821	2641																
PMC6923882	2642																
PMC6923932	2643																
PMC6923964	2644																
PMC6923981	2645																
PMC6923995	2646																
PMC6924049	2647																
PMC6924089	2648																
PMC6924121	2649																
PMC6924160	2650																
PMC6924172	2651																
PMC6924178	2652																
PMC6924182	2653																
PMC6924188	2654																
PMC6924568	2655																
PMC6925215	2656																
PMC6925238	2657																
PMC6925684	2658																
PMC6925759	2659																
PMC6925789	2660																
PMC6925816	2661																
PMC6925869	2662																
PMC6925883	2663																
PMC6925953	2664																
PMC6926094	2665																
PMC6926424	2666																
PMC6927097	2667																
PMC6927193	2668																
PMC6927286	2669																
PMC6927499	2670																
PMC6927618	2671																
PMC6927934	2672																
PMC6927982	2673																
PMC6928003	2674																
PMC6928025	2675																
PMC6928121	2676																
PMC6928122	2677																
PMC6928622	2678																
PMC6928638	2679																
PMC6928681	2680																
PMC6928780	2681																
PMC6928808	2682																
PMC6929033	2683																
PMC6929203	2684																
PMC6929326	2685																
PMC6929508	2686																
PMC6929537	2687																
PMC6929555	2688																
PMC6929668	2689																
PMC6930161	2690																
PMC6930791	2691																
PMC6930873	2692																
PMC6930919	2693																
