Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
Biosci Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
BMC Microbiol	Gene expression array	Pseudomonas aeruginosa	GO	No	Not stated	No	PANTHER	No	NA	Not stated	Background, FDR	Yes
Reprod Biol Endocrinol	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	GOseq	No	No	Not stated	Background	Yes
Reprod Biol Endocrinol	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	Yes
J Cheminform	Metabolomics, Database	Homo sapiens	KEGG	No	Hypergeometric	Yes	MetaboAnalyst	Yes	Yes	Not stated	Background	No
BMC Pregnancy Childbirth	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
J Transl Med	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
J Transl Med	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	AmiGO	No	NA	Not stated	Background	Yes
J Transl Med	RNA-seq	Homo sapiens	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
J Transl Med	RNA-seq	Homo sapiens	GO, KEGG	No	GSVA	Yes	GSVA	No	No	NA	No	No
BMC Plant Biol	RNA-seq	Zea mays	GO, KEGG	No	Not stated	Yes	agriGO	No	NA	Not stated	Background	No
Cancer Cell Int	Database	Homo sapiens	GO, KEGG	No	Not stated	No	FunRich	Yes	NA	Not stated	Background, FDR	No
GM Crops Food	RNA-seq, Metabolomics	Oryza Sativa	GO, KEGG	No	Not stated	No	Pathview	No	No	Not stated	Background, FDR	No
Sci Rep	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Arch Gynecol Obstet	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	No
Sci Rep	Genome sequencing	Gossypium hirsutum	GO, KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
Front Pharmacol	Database	Homo sapiens	GO, KEGG	No	Not stated	No	Molecule Annotation System	Yes	NA	Not stated	Background, FDR	No
Front Genet	RNA-seq	Homo sapiens	WikiPathways	No	Not stated	Yes	FUMA gene2func	No	NA	Not stated	Background	No
Hereditas	Proteomics	Bos taurus	GO, KEGG	No	No test	No	PANTHER	No	NA	Not stated	Inference without test, Background	Yes
J Exp Clin Cancer Res	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	Yes	Yes	Not stated	Background	No
J Pathol	RNA-seq	Homo sapiens	Not stated	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	No
J Pathol	RNA-seq	Homo sapiens	GO	No	Fisher	Yes	PANTHER	No	NA	Not stated	Background, FDR	No
Cancer Manag Res	Database	Homo sapiens	KEGG	No	No test	No	DAVID	No	NA	Not stated	Inference without test, Background, FDR	No
J Cell Biochem	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
FASEB J	RNA-seq	Homo sapiens	Not stated	No	Not stated	Yes	ToppFun	No	NA	Not stated	Background	No
Biomed Res Int	Gene expression array	Homo sapiens	GO, KEGG	No	Fisher	No	Not stated	No	NA	Not stated	Background, FDR	No
Ann Oncol	Database	Homo sapiens	MSigDB	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
Aging (Albany NY)	Database	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Clin Transl Endocrinol	Gene expression array	Mus musculus	GO, KEGG	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
Mol Ther Nucleic Acids	RNA-seq	Rattus norvegicus	GO, KEGG	No	No test	Yes	KOBAS	No	NA	Not stated	Inference without test, Background	No
Data Brief	Proteomics	Homo sapiens	Ingenuity Canonical Pathways 	No	Not stated	No	Ingenuity Pathway Analysis	Yes	NA	Not stated	Background, FDR	Yes
Front Neurosci	Gene expression array	Rattus norvegicus	KEGG	No	Hypergeometric	No	Not stated	No	NA	Not stated	Background, FDR	No
Stem Cells	RNA-seq	Homo sapiens	GO	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
J Breast Cancer	RNA-seq, Database	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Nat Commun	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Biol Chem	RNA-seq	Papio anubis	MSigDB	Yes	GSEA	No	FGSEA	No	No	NA	Background, FDR	No
Biosci Rep	RNA-seq	Homo sapiens	KEGG	No	Hypergeometric	No	DAVID	No	NA	Not stated	Background, FDR	No
BMC Bioinformatics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
BMC Genomics	RNA-seq	Salvelinus alpinus	GO	No	Fisher	No	topGO	No	NA	Not stated	Background, FDR	No
ESMO Open	Database	Homo sapiens	MSigDB	Yes	Not stated	Yes	CAMERA	No	NA	Not stated	Background	No
Data Brief	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
BMC Med Genet	DNA methylation sequencing	Homo sapiens	dbPTB	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Cancer Cell Int	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
BMC Microbiol	Proteomics	Enterococcus faecalis	GO, KEGG	No	Fisher	No	DAVID	No	NA	Not stated	Background, FDR	No
Clin Epigenetics	DNA methylation array	Homo sapiens	GO	No	Fisher	No	Enrichr	No	NA	Not stated	Background, FDR	No
Radiat Res	Proteomics	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PeerJ	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Mol Oncol	Gene expression array	Homo sapiens	GO	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Mol Oncol	Gene expression array	Homo sapiens	MSigDB, BioCarta	No	GSEA	No	GSEA	No	NA	NA	FDR	No
Asian-Australas J Anim Sci	RNA-seq	Sus scrofa	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background	Yes
Int J Mol Sci	RNA-seq, Database	Brassica oleracea	GO	No	Not stated	No	topGo	No	NA	Not stated	Background, FDR	Yes
Int J Mol Sci	RNA-seq, Database	Brassica oleracea	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	Yes
Int J Mol Sci	RNA-seq	Brassica napus	GO	No	No test	No	GOseq	No	No	Not stated	Inference without test, Background	Yes
Int J Mol Sci	RNA-seq	Brassica napus	KEGG	No	No test	Yes	KOBAS	No	NA	Not stated	Inference without test, Background	Yes
Exp Ther Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	Yes	NA	Not stated	Background, FDR	Yes
Diabetes Metab Syndr Obes	Gene expression array	Homo sapiens	GO	No	GSEA	Yes	GSEA	Yes	NA	Stated, but incorrect	Background	No
Diabetes Metab Syndr Obes	Gene expression array	Homo sapiens	KEGG	No	Hypergeometric	Yes	ClueGO/Cytoscape	No	NA	Not stated	Background	No
Exp Ther Med	Database	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Exp Ther Med	Database	Homo sapiens	KEGG	No	Not stated	No	clusterProfiler	No	NA	Not stated	Background, FDR	No
Cancer Med	Database	Homo sapiens	GO	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	No
PLoS One	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
RNA Biol	Database	Homo sapiens	MSigDB, miEAA	Yes	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
Nucleic Acids Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Nucleic Acids Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Nucleic Acids Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Nucleic Acids Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Nucleic Acids Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Sci Rep	miRNA-seq	Homo sapiens	MetaCore	Yes	Not stated	Not stated	MetaCore	Yes	NA	Not stated	No data shown	Yes
Front Genet	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Assist Reprod Genet	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
J Cancer	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background	No
J Cancer	Gene expression array	Homo sapiens	GO, KEGG, PANTHER	No	Not stated	No	DAVID	No	NA	Not stated	Background	No
JAMA Netw Open	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	clusterProfiler	Yes	No	Not stated	Background	No
JAMA Netw Open	RNA-seq	Homo sapiens	Reactome	No	Not stated	Yes	ReactomePA	Yes	No	Not stated	Background	No
JAMA Netw Open	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	Yes	NA	Not stated	Background, FDR	No
Reprod Biol Endocrinol	Gene expression array	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Reprod Biol Endocrinol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	No
Reprod Biol Endocrinol	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	No
Genet Sel Evol	Genome sequencing	Bos taurus	GO, KEGG	No	Hypergeometric	Yes	ClueGO/Cytoscape	Yes	NA	Not stated	Background	Yes
EBioMedicine	Proteomics	Homo sapiens	GO, KEGG	No	Not stated	Yes	STRING	Yes	NA	Not stated	Background	No
Med Sci Monit	Database	Homo sapiens	GO, KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	No
Int J Mol Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Int J Mol Med	Gene expression array	Homo sapiens	KEGG	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Cancer Biol Ther	Database	Homo sapiens, Mus musculus	KEGG	No	Not stated	No	STRING	No	NA	Not stated	Background, FDR	No
Front Microbiol	Metabolomics	Legionella pneumophila	MetaboAnalyst	Yes	Not stated	Yes	MetaboAnalyst	Yes	NA	Not stated	Background	No
EBioMedicine	Gene expression array	Homo sapiens, Mus musculus	GO	No	Not stated	No	ToppGene	No	NA	Not stated	Background, FDR	No
Front Pharmacol	Gene expression array	Rattus norvegicus	KEGG	No	Fisher	Yes	Not stated	No	NA	Not stated	Background	Yes
EBioMedicine	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	Yes	NA	NA	Background	No
EBioMedicine	RNA-seq	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Oncol Lett	Gene expression array	Homo sapiens	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Oncol Lett	Gene expression array	Homo sapiens	GO	No	Not stated	No	FunRich	Yes	NA	Not stated	Background, FDR	No
Oncol Lett	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	No
Oncol Lett	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	NA	Background	No
Oncol Lett	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	Yes
Oncol Lett	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Cancer Manag Res	DNA methylation array	Homo sapiens	GO, KEGG, PID, BioCarta, Reactome, BioCyc, PANTHER	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
Cancer Manag Res	DNA methylation array	Homo sapiens	MSigDB	No	GSEA	No	GSEA	No	NA	NA	No data shown	No
Oncol Lett	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	ClueGO/Cytoscape	Yes	NA	Not stated	Background	No
Oncol Lett	Proteomics	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Oncol Lett	DNA methylation array	Homo sapiens	GO	No	Not stated	Yes	clusterProfiler	Yes	No	Not stated	Background	No
Oncol Lett	miRNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Metascape	No	NA	Not stated	Background	Yes
Oncol Lett	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
Oncol Lett	Gene expression array	Homo sapiens	Not stated	No	GSEA	No	GSEA	Yes	NA	NA	No	No
Eur J Med Res	Database	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
Oncol Rep	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Oncol Rep	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Genet Sel Evol	Genotyping array	Ovis aries	GO, PID, WikiPathways, Reactome	No	No test	No	Biosystem	No	NA	Not stated	Inference without test	Yes
FEBS Open Bio	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	No
FEBS Open Bio	DNA methylation array	Homo sapiens	GO, KEGG	No	Hypergeometric	Yes	GSEA	Yes	NA	NA	No	No
Biosci Rep	Database	Homo sapiens	GO, Pathway Studio Ontology	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Biosci Rep	Database	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	NA	Not stated	Background, FDR	No
Sci Rep	Gene expression array	Oryctolagus cuniculus	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Sci Rep	Proteomics	Bos taurus	GO	No	Not stated	Yes	ProteINSIDE	No	NA	Not stated	Background	No
PeerJ	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	NA	Not stated	Background	Yes
Sci Rep	Proteomics	Spica prunellae	GO, KEGG	No	No test	No	QuickGO	No	NA	Not stated	Inference without test	Yes
Carcinogenesis	DNA methylation array	Homo sapiens	GO	No	Not stated	No	GeneGo MetaCore	Yes	NA	Not stated	Background, FDR	No
Front Neurosci	RNA-seq	Simiiformes catarrhini	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Biomed Rep	Proteomics	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Onco Targets Ther	Database	Homo sapiens	GO, KEGG	No	No test	No	DAVID	No	NA	Not stated	Inference without test	No
PeerJ	RNA-seq	Rattus norvegicus	GO	No	Not stated	Yes	GOseq	No	NA	Not stated	Background	No
PeerJ	RNA-seq	Rattus norvegicus	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
Biochem Med (Zagreb)	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
BMC Complement Altern Med	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	No
Front Immunol	Proteomics	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Front Pediatr	miRNA-seq	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PLoS One	Metabolomics	Homo sapiens	KEGG	No	Not stated	No	MetPA	No	NA	Not stated	Background, FDR	No
PLoS One	Metabolomics	Bos grunniens	KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	No
Nat Commun	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Carcinogenesis	Proteomics	Homo sapiens	Ingenuity Knowledge Base	Yes	Not stated	Yes	Ingenuity Pathway Analysis	Yes	NA	Not stated	Background	No
Carcinogenesis	Proteomics	Homo sapiens	GO	No	Not stated	No	WebGestalt	No	NA	Not stated	Background, FDR	No
BMC Cancer	Database	Homo sapiens	GO, KEGG	No	Not stated	No	limma goana, limma kegga	No	NA	NA	FDR	No
BMC Genomics	Genome sequencing	Phyllosticta	GO, SGD	No	No test	No	PANTHER	No	No	Yes	Inference without test	No
Microbiome	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Onco Targets Ther	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Aging Cell	RNA-seq	Homo sapiens	GO	No	Hypergeometric	Yes	STRING	No	NA	Not stated	Background	No
Bioinformatics	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Bioinformatics	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	ToppGene	No	NA	Not stated	Background	No
Int J Cardiol Heart Vasc	Gene expression array	Homo sapiens	MSigDB, BioCarta	Yes	GSEA	Yes	GSEA	No	NA	NA	No	Yes
Cancer Manag Res	Metabolomics	Homo sapiens	KEGG, HMDB	No	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	No
Cancer Manag Res	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Autophagy	Gene expression array	Mus musculus	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
Int J Infect Dis	Metabolomics	Homo sapiens	KEGG, HMDB	No	Not stated	Yes	MetaboAnalyst	Yes	NA	Not stated	No	No
Front Vet Sci	RNA-seq	Bos taurus	GO	No	Hypergeometric	Yes	clusterProfiler	No	No	Not stated	Background	Yes
Front Vet Sci	RNA-seq	Bos taurus	GO	No	Hypergeometric	Yes	topGO	No	No	Not stated	Background	Yes
Front Immunol	Genotyping array	Homo sapiens	BioCarta, KEGG, Reactome	No	Hypergeometric	Yes	Not stated	No	NA	Not stated	No	Yes
Am J Transl Res	DNA methylation sequencing, RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	No	No	Not stated	Background	No
Am J Transl Res	miRNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	No
Am J Transl Res	Gene expression array	Homo sapiens	Reactome	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Oncol Lett	DNA methylation array	Homo sapiens	GO, KEGG, Reactome	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Oncol Lett	Database	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Oncol Lett	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Exp Ther Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
Nucleic Acids Res	Database	Homo sapiens	GO, KEGG	No	Hypergeometric	Yes	MetaCore	No	NA	Not stated	Background	No
Cancer Manag Res	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	Metascape	No	NA	Not stated	Background, FDR	No
Biomed Res Int	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Biomed Res Int	RNA-seq	Sus scrofa	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
BMC Genomics	Gene expression array	Mus musculus, Gallus gallus	GO, KEGG, BioCarta	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
BMC Genomics	RNA-seq	Rhacophorus omeimontis	GO	No	Hypergeometric	Yes	GOseq	No	No	Not stated	Background	Yes
BMC Genomics	RNA-seq	Rhacophorus omeimontis	KEGG	No	Hypergeometric	Yes	KOBAS	No	NA	Not stated	Background	Yes
J Pain	DNA methylation array	Homo sapiens	GO, KEGG	No	Not stated	Yes	Enrichr	No	No	Not stated	Background, FDR	No
Nat Commun	Genome sequencing	Homo sapiens	GO, DisGeNET	No	Not stated	Yes	ToppGene	No	Yes	Not stated	Background	No
Animals (Basel)	Proteomics	Ovis aries	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Pers Med	RNA-seq	Homo sapiens	GO	No	Not stated	No	VLAD	No	NA	Not stated	Background, FDR	Yes
Int J Environ Res Public Health	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
Sci Rep	Genome sequencing	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Reprod Biol Endocrinol	Proteomics	Homo sapiens	GO, KEGG	No	Not stated	No	WebGestalt	No	NA	Not stated	Background, FDR	No
Clin Epigenetics	Database	Homo sapiens	GO	No	No test	No	WebGestalt	No	NA	Not stated	Inference without test	No
Clin Transl Allergy	Database	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
J Cell Physiol	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
Front Immunol	RNA-seq	Sus scrofa	GO, KEGG	No	Not stated	Yes	GOseq	Yes	No	Not stated	Background	Yes
Hepatology	Metabolomics	Homo sapiens, Mus musculus	Ingenuity Knowledge Base	No	No test	No	Ingenuity Pathway Analysis	No	NA	Not stated	Inference without test	No
PLoS One	RNA-seq	Mus musculus	GO	No	No test	No	GOseq	No	No	Not stated	Inference without test	No
PLoS One	RNA-seq	Mus musculus	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
PLoS One	Metabolomics	Bombus	MetaboAnalyst	No	Hypergeometric	Yes	MetaboAnalyst	Yes	NA	Yes	No	No
Turk J Biol	miRNA expression array	Homo sapiens	KEGG	No	EASE, Fisher, Hypergeometric	No	Not stated	No	NA	Not stated	Background, FDR	No
J Bacteriol	Metabolomics	Mycobacterium smegmatis	Not stated	No	Not stated	Yes	MetaboAnalyst	No	NA	Not stated	Background	Yes
Front Pharmacol	Metabolomics	Acinetobacter baumannii	KEGG, EcoCyc	No	ANOVA	Yes	Not stated	No	NA	Not stated	Background	Yes
Front Oncol	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
Am J Physiol Gastrointest Liver Physiol	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	limma	No	No	Stated, but incorrect	Background, FDR	Yes
Physiol Genomics	RNA-seq	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	No
Physiol Genomics	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	ClueGO/Cytoscape	No	NA	Not stated	Background	No
Mol Pain	miRNA expression array, Database	Rattus norvegicus, Homo sapiens	MetaCore, KEGG, GO	No	Not stated	No	MetaCore	No	NA	Not stated	Background, FDR	No
Med Sci Monit	Database	Homo sapiens	GO, KEGG, Reactome	No	No test	No	DAVID	Yes	NA	Not stated	Background, FDR, Inference without test	No
PLoS One	Gene expression array	Homo sapiens	GO	No	Not stated	Yes	MetaCore	No	NA	Not stated	Background	No
BMC Med Genomics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
BMC Med Genomics	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
BMC Med Genomics	Gene expression array	Homo sapiens	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Front Genet	RNA-seq	Bos taurus	GO, KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	Yes
BMC Plant Biol	RNA-seq	Sorghum bicolor	GO, KEGG	No	Hypergeometric	No	Not stated	No	NA	Yes	FDR	No
Epigenetics Chromatin	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Parasit Vectors	RNA-seq	Schistosoma japonicum	GO	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	No
Parasit Vectors	RNA-seq	Schistosoma japonicum	KEGG	No	Not stated	No	Blast2GO	No	NA	Not stated	Background, FDR	No
Mol Genet Genomic Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Mol Genet Genomic Med	Genotyping array	Homo sapiens	Reactome	No	GSEA	Yes	i‐Gsea4Gwas	Yes	NA	NA	No	No
Mol Genet Genomic Med	Genotyping array	Homo sapiens	GO	No	Hypergeometric	Yes	ConsensusPathDB	No	NA	Not stated	Background	No
Mol Genet Genomic Med	Genotyping array	Homo sapiens	Custom	No	Not stated	No	MAGMA	No	NA	Not stated	Background	No
Mol Med Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Fisher	No	Not stated	Yes	NA	Not stated	Background, FDR	No
Mol Med Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Mol Med Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Mol Med Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	Yes	No	Not stated	Background	No
Mol Med Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	ClueGO/Cytoscape	No	NA	Not stated	Background	No
Mol Med Rep	Proteomics	Homo sapiens	UniProt, STITCH	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Mol Med Rep	Database	Homo sapiens	GO, KEGG	No	Fisher	Yes	Not stated	No	NA	Not stated	Background	No
